,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
445311,202029562,614,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,606,0,4/26/2020 19:00,2020,4,Sunday,19,HUNTINGTON AVE,42.332961,-71.110419,"(42.33296100, -71.11041900)"
443083,202031949,3301,VERBAL DISPUTE,E18,533,0,5/7/2020 17:34,2020,5,Thursday,17,READVILLE ST,42.245251,-71.134653,"(42.24525100, -71.13465300)"
463911,202009565,3006,SICK/INJURED/MEDICAL - PERSON,D14,751,0,2/4/2020 18:09,2020,2,Tuesday,18,KENRICK ST,42.346521,-71.166228,"(42.34652100, -71.16622800)"
438792,202036551,423,ASSAULT - AGGRAVATED,B3,446,0,5/26/2020 11:00,2020,5,Tuesday,11,ELMONT ST,42.298819,-71.077529,"(42.29881900, -71.07752900)"
458216,202015752,2007,VIOLATION - RESTRAINING ORDER (NO ARREST),B2,276,0,2/27/2020 7:06,2020,2,Thursday,7,DEWITT DR,42.334076,-71.083564,"(42.33407600, -71.08356400)"
452097,202022328,3301,VERBAL DISPUTE,E5,681,0,3/23/2020 8:51,2020,3,Monday,8,WALWORTH ST,42.28317,-71.137403,"(42.28317000, -71.13740300)"
471231,202001605,614,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,200,0,1/6/2020 21:00,2020,1,Monday,21,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
451828,202022618,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,200,0,3/20/2020 15:00,2020,3,Friday,15,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
431348,202044584,3802,M/V ACCIDENT - PROPERTY DAMAGE,C6,222,0,6/25/2020 11:07,2020,6,Thursday,11,E SECOND ST,42.337278,-71.038096,"(42.33727800, -71.03809600)"
468482,202004596,617,LARCENY THEFT FROM BUILDING,D14,778,0,1/17/2020 2:00,2020,1,Friday,2,WASHINGTON ST,42.349055,-71.150498,"(42.34905500, -71.15049800)"
445634,202029221,801,ASSAULT - SIMPLE,A1,111,0,4/25/2020 11:24,2020,4,Saturday,11,WASHINGTON ST,42.355123,-71.060879,"(42.35512300, -71.06087900)"
463746,202009746,1832,SICK ASSIST - DRUG RELATED ILLNESS,C11,398,0,2/5/2020 12:00,2020,2,Wednesday,12,LITHGOW ST,42.289639,-71.070461,"(42.28963900, -71.07046100)"
432204,202043663,614,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,200,0,6/20/2020 20:00,2020,6,Saturday,20,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
470042,202002896,3005,SICK ASSIST,A1,122,0,1/11/2020 18:01,2020,1,Saturday,18,TREMONT ST,42.350798,-71.065007,"(42.35079800, -71.06500700)"
438673,202036680,801,ASSAULT - SIMPLE,E5,564,0,5/28/2020 5:10,2020,5,Thursday,5,WASHINGTON ST,42.294216,-71.119852,"(42.29421600, -71.11985200)"
462150,202011472,2647,THREATS TO DO BODILY HARM,D4,149,0,2/11/2020 13:40,2020,2,Tuesday,13,YARMOUTH ST,42.345978,-71.076712,"(42.34597800, -71.07671200)"
472159,202000594,1832,SICK ASSIST - DRUG RELATED ILLNESS,C6,175,0,1/3/2020 9:32,2020,1,Friday,9,SOUTHAMPTON ST,42.332108,-71.070143,"(42.33210800, -71.07014300)"
453820,202020497,3108,FIRE REPORT,B2,326,0,3/14/2020 21:12,2020,3,Saturday,21,QUINCY ST,42.31369,-71.076967,"(42.31369000, -71.07696700)"
439543,202035752,2907,VAL - OPERATING AFTER REV/SUSP.,B3,458,0,5/24/2020 4:00,2020,5,Sunday,4,BLUE HILL AVE,42.30316,-71.085155,"(42.30316000, -71.08515500)"
468757,202004299,3114,INVESTIGATE PROPERTY,E18,478,0,1/16/2020 18:22,2020,1,Thursday,18,KENNEBEC ST,42.27116,-71.108148,"(42.27116000, -71.10814800)"
442051,202033049,3301,VERBAL DISPUTE,B3,466,0,5/12/2020 18:02,2020,5,Tuesday,18,OUTLOOK RD,42.282455,-71.094487,"(42.28245500, -71.09448700)"
458173,202015800,3410,TOWED MOTOR VEHICLE,D4,135,0,2/27/2020 9:58,2020,2,Thursday,9,BEACON ST,42.352757,-71.082402,"(42.35275700, -71.08240200)"
448353,202026341,801,ASSAULT - SIMPLE,B3,434,0,4/11/2020 2:55,2020,4,Saturday,2,NORFOLK TER,42.28602,-71.080286,"(42.28602000, -71.08028600)"
437314,202038144,3005,SICK ASSIST,B3,908,0,6/1/2020 0:00,2020,6,Monday,0,SHANDON RD,42.296115,-71.091219,"(42.29611500, -71.09121900)"
457886,202016117,3130,SEARCH WARRANT,B2,325,0,2/28/2020 6:00,2020,2,Friday,6,WAYLAND ST,42.313989,-71.075846,"(42.31398900, -71.07584600)"
460338,202013464,2610,TRESPASSING,A1,92,0,2/18/2020 21:19,2020,2,Tuesday,21,COURT ST,42.358922,-71.058353,"(42.35892200, -71.05835300)"
459787,202014056,801,ASSAULT - SIMPLE,C11,345,0,2/20/2020 21:50,2020,2,Thursday,21,RIDGEWOOD ST,42.302094,-71.065751,"(42.30209400, -71.06575100)"
433919,202041818,801,ASSAULT - SIMPLE,E13,639,0,6/15/2020 13:10,2020,6,Monday,13,ROBINWOOD AVE,42.31624,-71.11267,"(42.31624000, -71.11267000)"
431628,202044284,1102,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,6/24/2020 11:24,2020,6,Wednesday,11,WASHINGTON ST,42.349055,-71.150498,"(42.34905500, -71.15049800)"
468724,202004335,613,LARCENY SHOPLIFTING,E18,496,0,1/16/2020 20:44,2020,1,Thursday,20,HYDE PARK AVE,42.26701,-71.120961,"(42.26701000, -71.12096100)"
468871,202004175,3410,TOWED MOTOR VEHICLE,B2,329,0,1/16/2020 12:42,2020,1,Thursday,12,OLDFIELDS RD,42.308215,-71.079978,"(42.30821500, -71.07997800)"
459949,202013883,3007,SUDDEN DEATH,B3,446,0,2/20/2020 12:08,2020,2,Thursday,12,NORWELL ST,42.298284,-71.078694,"(42.29828400, -71.07869400)"
446725,202028054,2007,VIOLATION - RESTRAINING ORDER (NO ARREST),D4,156,0,4/19/2020 19:00,2020,4,Sunday,19,WORCESTER ST,42.338983,-71.077487,"(42.33898300, -71.07748700)"
451936,202022500,613,LARCENY SHOPLIFTING,A1,77,0,3/23/2020 20:00,2020,3,Monday,20,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
